Market,Item ,Sub Item,Server Name,Server Model,estimatimation,Service Tag,Ship Date,Age,No. of CPU,CPU Speed,CPU Type,No. of Cores/CPU,CPU Model,Amount of RAM,Config of RAM,Raid Card,Raid Card RAM,Drive Config (Int RAID Ext RAID),External Storage,External Interface,San Server,SAN Config,OS,OS Architecture,OS SP Level,Server Role,Warranty Type,Expiration Date,Can Be Extended
APJ,Server,Dellasia14 MD1000,Dellsan2041,6850,450,3DMRW2J,4/27/2007,,4,3400,Core2Xeon,2,Intel Xeon CPU 7140M,32gb,8x4gb,Perc4DC,128mb,"2x73gb C&L R1 15K, 2x300gb D R1 15K, 2x73gb P R1 15K",SAN,2xEmulex LPe1150-E,"STARR3, STARR4 & STARR5",See attached JPG's,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,4/26/2014,No
APJ,Server,Dellasia15,Dellsan2042,6850,450,6DMRW2J,4/27/2007,,4,3400,Core2Xeon,2,Intel Xeon CPU 7140M,32gb,8x4gb,Perc4DC,128mb,"2x73gb C&P R1 15K, 2x300gb D R1 15K, 2x73gb Q R1 15K",SAN,2xEmulex LPe1150-E,STARR4,See attached JPG's,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,4/26/2014,No
APJ,Server,Dellasia15 MD1000,Dellsan2044,6850,450,FR17P3J,5/21/2008,,4,3200,Core2Xeon,2,Intel Xeon CPU 7130M,64gb,16x4gb,Perc4DC,128mb,"2x300gb C&P&D R1 15K, 3x300gb E R5 15K",N/A,2xEmulex LPe1150-E,N/A,N/A,Win 2003 R2 Ent,x64,2,SQL 2005 Server,4hr Mission Critical,5/20/2013,No
APJ,Server,Dellasia16,Dellsan2052,6850,450,59MRW2J,4/27/2007,,4,3400,Core2Xeon,2,Intel Xeon CPU 7140M,32gb,8x4gb,Perc4DC,128mb,"2x73gb C&D R1 15K, 2x73gb P R1 15K",SAN,2xEmulex LPe1150-E,STARR3,See attached JPG's,Win 2003 R2 Ent,x32,2,SAS,4hr Mission Critical,4/26/2014,No
APJ,Server,Dellasia16 MD1000,Dellsan2053,6850,450,36ZHZ2J,6/11/2007,,4,3400,Core2Xeon,2,Intel Xeon CPU 7140M,32gb,8x4gb,Perc4DC,128mb,"2x73gb C&D R1 15K, 2x73gb P R1 15K",SAN,2xEmulex LPe1150-E,"STARR3, STARR4 & STARR5",See attached JPG's,Win 2003 R2 Ent,x32,2,SAS,4hr Mission Critical,6/10/2013,No
APJ,Server,Dellasia17,Dellasia14 MD1000,MD1000,120,JDW5Q2J,1/20/2007,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"8x300gb E R5 15K, 2x146gb G R1 15K",N/A,SAS,N/A,N/A,N/A,N/A,N/A,N/A,4hr Mission Critical,1/18/2013,No
APJ,Server,Dellasia17 MD1000,Dellasia15 MD1000,MD1000,120,FDW5Q2J,1/20/2007,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"5x300gb E R5 15K, 2x146gb G R1 15K",N/A,SAS,N/A,N/A,N/A,N/A,N/A,N/A,4hr Mission Critical,1/18/2013,No
APJ,Server,Dellasia18,Dellasia16 MD1000,MD1000,120,HFW5Q2J,1/20/2007,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"5x300gb E R5 15K, 2x146gb G R1 15K",N/A,SAS,N/A,N/A,N/A,N/A,N/A,N/A,4hr Mission Critical,12/31/2012,No
APJ,Server,Dellasia18 MD1000,Dellasia17 MD1000,MD1000,120,GWT5Q2J,1/20/2007,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"8x300gb E R5 15K, 2x146gb G R1 15K",N/A,SAS,N/A,N/A,N/A,N/A,N/A,N/A,4hr Mission Critical,1/18/2013,No
APJ,Server,Dellasia19,Dellasia18 MD1000,MD1000,120,7RTJC4J,6/22/2009,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"5x450gb E R5 15K, 4x146gb G R10 15K",N/A,SAS,N/A,N/A,N/A,N/A,N/A,N/A,4hr Mission Critical,6/21/2013,Yes
APJ,Server,Dellasia19 MD3000,Dellasia20 MD1000,MD1000,120,8RTJC4J,6/22/2009,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"11x450gb E R5 15K, 4x146gb G R10 15K",N/A,SAS,N/A,N/A,N/A,N/A,N/A,N/A,4hr Mission Critical,6/21/2013,Yes
APJ,Server,Dellasia20,Dellasia21 MD1000,MD1000,120,BMRPB4J,5/21/2009,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"10x450gb E R5 15K, 4x300gb G R10 15K",N/A,SAS,N/A,N/A,N/A,N/A,N/A,N/A,4hr Mission Critical,5/20/2013,Yes
APJ,Server,Dellasia20 MD1000,Dellasia19 MD3000,MD3000,400,59L8V3J,7/28/2008,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"600gb Data R5, 136gb Log R1",N/A,SAS,N/A,N/A,N/A,N/A,N/A,N/A,4hr Mission Critical,2/21/2013,Yes
APJ,Server,Dellasia21,Dellmar56 ML6000,ML6000,1400,6QJ8GD1,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 x LTO3 Tape Drives,N/A,FIBRE,N/A,N/A,N/A,N/A,N/A,N/A,4hr Mission Critical,4/25/2013,Yes
APJ,Server,Dellasia21 MD1000,Dellmar46 ML6000,ML6000,1400,63W8GD1,7/28/2008,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 x LTO3 Tape Drives,N/A,FIBRE,N/A,N/A,N/A,N/A,N/A,N/A,4hr Mission Critical,2/21/2013,Yes
